Solar_Irradiance
0.0
0.0
0.0
0.0
0.0
0.0
95.69
320.95
582.72
783.57
905.38
937.23
969.33
855.98
738.17
551.62
311.63
64.25
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
99.03
349.92
591.98
788.05
920.2
1001.89
992.81
814.55
687.8
497.02
274.14
57.04
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
58.86
316.87
471.14
603.33
714.88
695.82
570.22
559.12
456.89
359.21
183.68
40.6
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
74.93
296.41
543.17
762.43
888.77
936.51
832.02
777.33
579.03
411.89
213.09
42.45
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
72.35
332.7
573.33
767.18
910.12
988.99
980.99
898.64
735.61
538.6
291.49
64.73
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
68.34
279.16
534.45
770.05
904.41
989.61
983.74
903.19
751.45
551.71
312.23
67.6
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
90.91
319.26
555.04
755.24
917.09
985.53
980.09
903.04
757.21
547.48
302.57
65.56
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
51.92
218.64
402.81
576.63
783.41
868.98
890.27
731.04
658.7
500.0
277.72
56.35
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
46.94
261.12
387.52
515.12
620.09
693.21
736.73
577.66
600.53
504.27
279.69
56.17
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
42.27
60.67
128.49
263.28
433.1
489.02
617.34
542.93
536.81
386.41
207.81
46.34
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
59.34
245.74
427.83
641.94
781.68
822.96
724.59
670.81
511.87
329.16
179.13
37.39
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
42.92
154.49
308.5
442.57
619.05
683.97
688.34
596.84
503.23
399.79
222.71
51.69
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
56.49
242.54
438.34
667.62
850.02
809.35
738.14
537.99
451.22
337.84
207.31
51.48
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
54.85
222.21
407.9
562.97
559.59
664.08
864.92
771.11
675.73
494.5
268.17
58.28
0.0
0.0
0.0
0.0
0.0
0.0
